state	district	crop	Variety	Year	Season	fhp
AP	Adilabad	Bajra	-	2008-09	-	1741
AP	Adilabad	Bajra	-	2008-09	Kharif	
AP	Adilabad	Bajra	-	2008-09	Rabi	1741
AP	Adilabad	Bajra	-	2009-10	-	928
AP	Adilabad	Bajra	-	2009-10	Kharif	
AP	Adilabad	Bajra	-	2009-10	Rabi	928
AP	Adilabad	Bajra	-	2010-11	-	3526
AP	Adilabad	Bajra	-	2010-11	Kharif	
AP	Adilabad	Bajra	-	2010-11	Rabi	3526
AP	Adilabad	CasterSeed	-	2008-09	-	2121
AP	Adilabad	CasterSeed	-	2008-09	Kharif	2121
AP	Adilabad	CasterSeed	-	2009-10	-	
AP	Adilabad	CasterSeed	-	2009-10	Kharif	
AP	Adilabad	CasterSeed	-	2010-11	-	
AP	Adilabad	CasterSeed	-	2010-11	Kharif	
AP	Adilabad	CasterSeed	-	2010-11	Rabi	
AP	Adilabad	Chilly	-	2008-09	Rabi	6336
AP	Adilabad	Chilly	Dry	2008-09	-	5599
AP	Adilabad	Chilly	Dry	2008-09	Kharif	5324
AP	Adilabad	Chilly	Dry	2009-10	-	6709
AP	Adilabad	Chilly	Dry	2009-10	Kharif	6764
AP	Adilabad	Chilly	Dry	2009-10	Rabi	6382
AP	Adilabad	Chilly	Dry	2010-11	-	8527
AP	Adilabad	Chilly	Dry	2010-11	Kharif	8987
AP	Adilabad	Chilly	Dry	2010-11	Rabi	7271
AP	Adilabad	Cotton	-	2008-09	-	2898
AP	Adilabad	Cotton	-	2008-09	Kharif	2898
AP	Adilabad	Cotton	-	2009-10	-	3094
AP	Adilabad	Cotton	-	2009-10	Kharif	3094
AP	Adilabad	Cotton	-	2010-11	-	4310
AP	Adilabad	Cotton	-	2010-11	Kharif	4310
AP	Adilabad	Gram	-	2008-09	-	1549
AP	Adilabad	Gram	-	2008-09	Rabi	1549
AP	Adilabad	Gram	-	2009-10	-	1995
AP	Adilabad	Gram	-	2009-10	Rabi	1995
AP	Adilabad	Gram	-	2010-11	-	2050
AP	Adilabad	Gram	-	2010-11	Rabi	2050
AP	Adilabad	Ground Nut	-	2008-09	-	2408
AP	Adilabad	Ground Nut	-	2008-09	Kharif	
AP	Adilabad	Ground Nut	-	2008-09	Rabi	2408
AP	Adilabad	Ground Nut	-	2009-10	-	2505
AP	Adilabad	Ground Nut	-	2009-10	Kharif	
AP	Adilabad	Ground Nut	-	2009-10	Rabi	2505
AP	Adilabad	Ground Nut	-	2010-11	-	3651
AP	Adilabad	Ground Nut	-	2010-11	Kharif	
AP	Adilabad	Ground Nut	-	2010-11	Rabi	3651
AP	Adilabad	Jowar	-	2008-09	-	720
AP	Adilabad	Jowar	-	2008-09	Kharif	701
AP	Adilabad	Jowar	-	2008-09	Rabi	754
AP	Adilabad	Jowar	-	2009-10	-	1033
AP	Adilabad	Jowar	-	2009-10	Kharif	1085
AP	Adilabad	Jowar	-	2009-10	Rabi	898
AP	Adilabad	Jowar	-	2010-11	-	822
AP	Adilabad	Jowar	-	2010-11	Kharif	750
AP	Adilabad	Jowar	-	2010-11	Rabi	1039
AP	Adilabad	Maize	-	2008-09	-	817
AP	Adilabad	Maize	-	2008-09	Kharif	816
AP	Adilabad	Maize	-	2008-09	Rabi	816
AP	Adilabad	Maize	-	2009-10	-	820
AP	Adilabad	Maize	-	2009-10	Kharif	836
AP	Adilabad	Maize	-	2009-10	Rabi	768
AP	Adilabad	Maize	-	2010-11	-	878
AP	Adilabad	Maize	-	2010-11	Kharif	843
AP	Adilabad	Maize	-	2010-11	Rabi	968
AP	Adilabad	Mesta	-	2008-09	-	
AP	Adilabad	Mesta	-	2008-09	Kharif	
AP	Adilabad	Mesta	-	2009-10	-	
AP	Adilabad	Mesta	-	2009-10	Kharif	
AP	Adilabad	Mesta	-	2010-11	-	
AP	Adilabad	Mesta	-	2010-11	Kharif	
AP	Adilabad	Paddy	-	2008-09	-	937
AP	Adilabad	Paddy	-	2008-09	Kharif	929
AP	Adilabad	Paddy	-	2008-09	Rabi	954
AP	Adilabad	Paddy	-	2009-10	-	948
AP	Adilabad	Paddy	-	2009-10	Kharif	944
AP	Adilabad	Paddy	-	2009-10	Rabi	960
AP	Adilabad	Paddy	-	2010-11	-	987
AP	Adilabad	Paddy	-	2010-11	Kharif	1005
AP	Adilabad	Paddy	-	2010-11	Rabi	948
AP	Adilabad	Ragi	-	2008-09	-	
AP	Adilabad	Ragi	-	2008-09	Kharif	
AP	Adilabad	Ragi	-	2008-09	Rabi	
AP	Adilabad	Ragi	-	2009-10	-	
AP	Adilabad	Ragi	-	2009-10	Kharif	
AP	Adilabad	Ragi	-	2009-10	Rabi	
AP	Adilabad	Ragi	-	2010-11	-	
AP	Adilabad	Ragi	-	2010-11	Kharif	
AP	Adilabad	Ragi	-	2010-11	Rabi	
AP	Adilabad	Sesamum	-	2008-09	-	3655
AP	Adilabad	Sesamum	-	2008-09	Kharif	
AP	Adilabad	Sesamum	-	2008-09	Rabi	3655
AP	Adilabad	Sesamum	-	2009-10	-	5285
AP	Adilabad	Sesamum	-	2009-10	Kharif	
AP	Adilabad	Sesamum	-	2009-10	Rabi	5285
AP	Adilabad	Sesamum	-	2010-11	-	4209
AP	Adilabad	Sesamum	-	2010-11	Kharif	4715
AP	Adilabad	Sesamum	-	2010-11	Rabi	4128
AP	Adilabad	Sugar Raw	-	2008-09	-	1221
AP	Adilabad	Sugar Raw	-	2008-09	Kharif	1221
AP	Adilabad	Sugar Raw	-	2009-10	-	
AP	Adilabad	Sugar Raw	-	2009-10	Kharif	
AP	Adilabad	Sugar Raw	-	2010-11	-	2069
AP	Adilabad	Sugar Raw	-	2010-11	Kharif	2069
AP	Adilabad	Tobacco	-	2008-09	-	
AP	Adilabad	Tobacco	-	2008-09	Rabi	
AP	Adilabad	Tobacco	-	2009-10	-	
AP	Adilabad	Tobacco	-	2010-11	-	
AP	Adilabad	Tobacco	-	2010-11	Rabi	
AP	Adilabad	Tur Arhar	-	2008-09	-	2205
AP	Adilabad	Tur Arhar	-	2008-09	Kharif	2205
AP	Adilabad	Tur Arhar	-	2009-10	-	3909
AP	Adilabad	Tur Arhar	-	2009-10	Kharif	3934
AP	Adilabad	Tur Arhar	-	2009-10	Rabi	3616
AP	Adilabad	Tur Arhar	-	2010-11	-	3055
AP	Adilabad	Tur Arhar	-	2010-11	Kharif	3047
AP	Adilabad	Tur Arhar	-	2010-11	Rabi	3294
AP	Adilabad	Turmeric	-	2008-09	-	2061
AP	Adilabad	Turmeric	-	2008-09	Kharif	2061
AP	Adilabad	Turmeric	-	2009-10	-	13636
AP	Adilabad	Turmeric	-	2009-10	Kharif	13636
AP	Adilabad	Turmeric	-	2010-11	-	11857
AP	Adilabad	Turmeric	-	2010-11	Kharif	11857
AP	Anantapur	Bajra	-	2008-09	-	719
AP	Anantapur	Bajra	-	2008-09	Kharif	719
AP	Anantapur	Bajra	-	2008-09	Rabi	
AP	Anantapur	Bajra	-	2009-10	-	1050
AP	Anantapur	Bajra	-	2009-10	Kharif	1050
AP	Anantapur	Bajra	-	2009-10	Rabi	
AP	Anantapur	Bajra	-	2010-11	-	1040
AP	Anantapur	Bajra	-	2010-11	Kharif	1040
AP	Anantapur	Bajra	-	2010-11	Rabi	
AP	Anantapur	CasterSeed	-	2008-09	-	2234
AP	Anantapur	CasterSeed	-	2008-09	Kharif	2234
AP	Anantapur	CasterSeed	-	2009-10	-	2400
AP	Anantapur	CasterSeed	-	2009-10	Kharif	2400
AP	Anantapur	CasterSeed	-	2010-11	-	3450
AP	Anantapur	CasterSeed	-	2010-11	Kharif	3464
AP	Anantapur	CasterSeed	-	2010-11	Rabi	2577
AP	Anantapur	Chilly	-	2008-09	Rabi	
AP	Anantapur	Chilly	Dry	2008-09	-	5669
AP	Anantapur	Chilly	Dry	2008-09	Kharif	5669
AP	Anantapur	Chilly	Dry	2009-10	-	5050
AP	Anantapur	Chilly	Dry	2009-10	Kharif	5050
AP	Anantapur	Chilly	Dry	2009-10	Rabi	
AP	Anantapur	Chilly	Dry	2010-11	-	7173
AP	Anantapur	Chilly	Dry	2010-11	Kharif	7173
AP	Anantapur	Chilly	Dry	2010-11	Rabi	
AP	Anantapur	Cotton	-	2008-09	-	2755
AP	Anantapur	Cotton	-	2008-09	Kharif	2755
AP	Anantapur	Cotton	-	2009-10	-	2833
AP	Anantapur	Cotton	-	2009-10	Kharif	2833
AP	Anantapur	Cotton	-	2010-11	-	5484
AP	Anantapur	Cotton	-	2010-11	Kharif	5484
AP	Anantapur	Gram	-	2008-09	-	2373
AP	Anantapur	Gram	-	2008-09	Rabi	2373
AP	Anantapur	Gram	-	2009-10	-	2210
AP	Anantapur	Gram	-	2009-10	Rabi	2210
AP	Anantapur	Gram	-	2010-11	-	2431
AP	Anantapur	Gram	-	2010-11	Rabi	2431
AP	Anantapur	Ground Nut	-	2008-09	-	2249
AP	Anantapur	Ground Nut	-	2008-09	Kharif	2117
AP	Anantapur	Ground Nut	-	2008-09	Rabi	2647
AP	Anantapur	Ground Nut	-	2009-10	-	2585
AP	Anantapur	Ground Nut	-	2009-10	Kharif	2530
AP	Anantapur	Ground Nut	-	2009-10	Rabi	2809
AP	Anantapur	Ground Nut	-	2010-11	-	2714
AP	Anantapur	Ground Nut	-	2010-11	Kharif	2609
AP	Anantapur	Ground Nut	-	2010-11	Rabi	4095
AP	Anantapur	Jowar	-	2008-09	-	1018
AP	Anantapur	Jowar	-	2008-09	Kharif	934
AP	Anantapur	Jowar	-	2008-09	Rabi	1044
AP	Anantapur	Jowar	-	2009-10	-	1114
AP	Anantapur	Jowar	-	2009-10	Kharif	1125
AP	Anantapur	Jowar	-	2009-10	Rabi	1095
AP	Anantapur	Jowar	-	2010-11	-	1353
AP	Anantapur	Jowar	-	2010-11	Kharif	1446
AP	Anantapur	Jowar	-	2010-11	Rabi	1329
AP	Anantapur	Maize	-	2008-09	-	804
AP	Anantapur	Maize	-	2008-09	Kharif	874
AP	Anantapur	Maize	-	2008-09	Rabi	759
AP	Anantapur	Maize	-	2009-10	-	914
AP	Anantapur	Maize	-	2009-10	Kharif	910
AP	Anantapur	Maize	-	2009-10	Rabi	920
AP	Anantapur	Maize	-	2010-11	-	929
AP	Anantapur	Maize	-	2010-11	Kharif	932
AP	Anantapur	Maize	-	2010-11	Rabi	925
AP	Anantapur	Mesta	-	2008-09	-	
AP	Anantapur	Mesta	-	2008-09	Kharif	
AP	Anantapur	Mesta	-	2009-10	-	
AP	Anantapur	Mesta	-	2009-10	Kharif	
AP	Anantapur	Mesta	-	2010-11	-	2326
AP	Anantapur	Mesta	-	2010-11	Kharif	2326
AP	Anantapur	Paddy	-	2008-09	-	1025
AP	Anantapur	Paddy	-	2008-09	Kharif	1093
AP	Anantapur	Paddy	-	2008-09	Rabi	896
AP	Anantapur	Paddy	-	2009-10	-	1539
AP	Anantapur	Paddy	-	2009-10	Kharif	1465
AP	Anantapur	Paddy	-	2009-10	Rabi	1700
AP	Anantapur	Paddy	-	2010-11	-	935
AP	Anantapur	Paddy	-	2010-11	Kharif	1042
AP	Anantapur	Paddy	-	2010-11	Rabi	779
AP	Anantapur	Ragi	-	2008-09	-	872
AP	Anantapur	Ragi	-	2008-09	Kharif	860
AP	Anantapur	Ragi	-	2008-09	Rabi	939
AP	Anantapur	Ragi	-	2009-10	-	1113
AP	Anantapur	Ragi	-	2009-10	Kharif	1067
AP	Anantapur	Ragi	-	2009-10	Rabi	1183
AP	Anantapur	Ragi	-	2010-11	-	1240
AP	Anantapur	Ragi	-	2010-11	Kharif	1230
AP	Anantapur	Ragi	-	2010-11	Rabi	1281
AP	Anantapur	Sesamum	-	2008-09	-	
AP	Anantapur	Sesamum	-	2008-09	Kharif	
AP	Anantapur	Sesamum	-	2008-09	Rabi	
AP	Anantapur	Sesamum	-	2009-10	-	
AP	Anantapur	Sesamum	-	2009-10	Kharif	
AP	Anantapur	Sesamum	-	2009-10	Rabi	
AP	Anantapur	Sesamum	-	2010-11	-	
AP	Anantapur	Sesamum	-	2010-11	Kharif	
AP	Anantapur	Sesamum	-	2010-11	Rabi	
AP	Anantapur	Sugar Raw	-	2008-09	-	2437
AP	Anantapur	Sugar Raw	-	2008-09	Kharif	2437
AP	Anantapur	Sugar Raw	-	2009-10	-	2500
AP	Anantapur	Sugar Raw	-	2009-10	Kharif	2500
AP	Anantapur	Sugar Raw	-	2010-11	-	2238
AP	Anantapur	Sugar Raw	-	2010-11	Kharif	2238
AP	Anantapur	Tobacco	-	2008-09	-	
AP	Anantapur	Tobacco	-	2008-09	Rabi	
AP	Anantapur	Tobacco	-	2009-10	-	4123
AP	Anantapur	Tobacco	-	2010-11	-	5291
AP	Anantapur	Tobacco	-	2010-11	Rabi	5291
AP	Anantapur	Tur Arhar	-	2008-09	-	2468
AP	Anantapur	Tur Arhar	-	2008-09	Kharif	2468
AP	Anantapur	Tur Arhar	-	2009-10	-	3224
AP	Anantapur	Tur Arhar	-	2009-10	Kharif	3218
AP	Anantapur	Tur Arhar	-	2009-10	Rabi	3616
AP	Anantapur	Tur Arhar	-	2010-11	-	3040
AP	Anantapur	Tur Arhar	-	2010-11	Kharif	3040
AP	Anantapur	Tur Arhar	-	2010-11	Rabi	
AP	Anantapur	Turmeric	-	2008-09	-	
AP	Anantapur	Turmeric	-	2008-09	Kharif	
AP	Anantapur	Turmeric	-	2009-10	-	
AP	Anantapur	Turmeric	-	2009-10	Kharif	
AP	Anantapur	Turmeric	-	2010-11	-	9310
AP	Anantapur	Turmeric	-	2010-11	Kharif	9310
AP	Chittor	Bajra	-	2008-09	-	789
AP	Chittor	Bajra	-	2008-09	Kharif	789
AP	Chittor	Bajra	-	2008-09	Rabi	
AP	Chittor	Bajra	-	2009-10	-	822
AP	Chittor	Bajra	-	2009-10	Kharif	822
AP	Chittor	Bajra	-	2009-10	Rabi	
AP	Chittor	Bajra	-	2010-11	-	919
AP	Chittor	Bajra	-	2010-11	Kharif	919
AP	Chittor	Bajra	-	2010-11	Rabi	
AP	Chittor	CasterSeed	-	2008-09	-	2619
AP	Chittor	CasterSeed	-	2008-09	Kharif	2619
AP	Chittor	CasterSeed	-	2009-10	-	
AP	Chittor	CasterSeed	-	2009-10	Kharif	
AP	Chittor	CasterSeed	-	2010-11	-	3464
AP	Chittor	CasterSeed	-	2010-11	Kharif	3464
AP	Chittor	CasterSeed	-	2010-11	Rabi	
AP	Chittor	Chilly	-	2008-09	Rabi	5370
AP	Chittor	Chilly	Dry	2008-09	-	5304
AP	Chittor	Chilly	Dry	2008-09	Kharif	5039
AP	Chittor	Chilly	Dry	2009-10	-	5443
AP	Chittor	Chilly	Dry	2009-10	Kharif	5221
AP	Chittor	Chilly	Dry	2009-10	Rabi	5484
AP	Chittor	Chilly	Dry	2010-11	-	9282
AP	Chittor	Chilly	Dry	2010-11	Kharif	
AP	Chittor	Chilly	Dry	2010-11	Rabi	9282
AP	Chittor	Cotton	-	2008-09	-	
AP	Chittor	Cotton	-	2008-09	Kharif	
AP	Chittor	Cotton	-	2009-10	-	
AP	Chittor	Cotton	-	2009-10	Kharif	
AP	Chittor	Cotton	-	2010-11	-	
AP	Chittor	Cotton	-	2010-11	Kharif	
AP	Chittor	Gram	-	2008-09	-	
AP	Chittor	Gram	-	2008-09	Rabi	
AP	Chittor	Gram	-	2009-10	-	
AP	Chittor	Gram	-	2009-10	Rabi	
AP	Chittor	Gram	-	2010-11	-	
AP	Chittor	Gram	-	2010-11	Rabi	
AP	Chittor	Ground Nut	-	2008-09	-	2226
AP	Chittor	Ground Nut	-	2008-09	Kharif	2015
AP	Chittor	Ground Nut	-	2008-09	Rabi	2607
AP	Chittor	Ground Nut	-	2009-10	-	2587
AP	Chittor	Ground Nut	-	2009-10	Kharif	2531
AP	Chittor	Ground Nut	-	2009-10	Rabi	2655
AP	Chittor	Ground Nut	-	2010-11	-	2670
AP	Chittor	Ground Nut	-	2010-11	Kharif	2535
AP	Chittor	Ground Nut	-	2010-11	Rabi	3355
AP	Chittor	Jowar	-	2008-09	-	820
AP	Chittor	Jowar	-	2008-09	Kharif	820
AP	Chittor	Jowar	-	2008-09	Rabi	
AP	Chittor	Jowar	-	2009-10	-	898
AP	Chittor	Jowar	-	2009-10	Kharif	898
AP	Chittor	Jowar	-	2009-10	Rabi	
AP	Chittor	Jowar	-	2010-11	-	1051
AP	Chittor	Jowar	-	2010-11	Kharif	1051
AP	Chittor	Jowar	-	2010-11	Rabi	
AP	Chittor	Maize	-	2008-09	-	796
AP	Chittor	Maize	-	2008-09	Kharif	874
AP	Chittor	Maize	-	2008-09	Rabi	759
AP	Chittor	Maize	-	2009-10	-	878
AP	Chittor	Maize	-	2009-10	Kharif	874
AP	Chittor	Maize	-	2009-10	Rabi	884
AP	Chittor	Maize	-	2010-11	-	950
AP	Chittor	Maize	-	2010-11	Kharif	914
AP	Chittor	Maize	-	2010-11	Rabi	987
AP	Chittor	Mesta	-	2008-09	-	
AP	Chittor	Mesta	-	2008-09	Kharif	
AP	Chittor	Mesta	-	2009-10	-	
AP	Chittor	Mesta	-	2009-10	Kharif	
AP	Chittor	Mesta	-	2010-11	-	2326
AP	Chittor	Mesta	-	2010-11	Kharif	2326
AP	Chittor	Paddy	-	2008-09	-	848
AP	Chittor	Paddy	-	2008-09	Kharif	932
AP	Chittor	Paddy	-	2008-09	Rabi	815
AP	Chittor	Paddy	-	2009-10	-	1102
AP	Chittor	Paddy	-	2009-10	Kharif	935
AP	Chittor	Paddy	-	2009-10	Rabi	1185
AP	Chittor	Paddy	-	2010-11	-	992
AP	Chittor	Paddy	-	2010-11	Kharif	1136
AP	Chittor	Paddy	-	2010-11	Rabi	933
AP	Chittor	Ragi	-	2008-09	-	901
AP	Chittor	Ragi	-	2008-09	Kharif	847
AP	Chittor	Ragi	-	2008-09	Rabi	1047
AP	Chittor	Ragi	-	2009-10	-	1119
AP	Chittor	Ragi	-	2009-10	Kharif	1087
AP	Chittor	Ragi	-	2009-10	Rabi	1291
AP	Chittor	Ragi	-	2010-11	-	1132
AP	Chittor	Ragi	-	2010-11	Kharif	1130
AP	Chittor	Ragi	-	2010-11	Rabi	1151
AP	Chittor	Sesamum	-	2008-09	-	3655
AP	Chittor	Sesamum	-	2008-09	Kharif	
AP	Chittor	Sesamum	-	2008-09	Rabi	3655
AP	Chittor	Sesamum	-	2009-10	-	3741
AP	Chittor	Sesamum	-	2009-10	Kharif	
AP	Chittor	Sesamum	-	2009-10	Rabi	3741
AP	Chittor	Sesamum	-	2010-11	-	3486
AP	Chittor	Sesamum	-	2010-11	Kharif	
AP	Chittor	Sesamum	-	2010-11	Rabi	3486
AP	Chittor	Sugar Raw	-	2008-09	-	2437
AP	Chittor	Sugar Raw	-	2008-09	Kharif	2437
AP	Chittor	Sugar Raw	-	2009-10	-	3382
AP	Chittor	Sugar Raw	-	2009-10	Kharif	3382
AP	Chittor	Sugar Raw	-	2010-11	-	2529
AP	Chittor	Sugar Raw	-	2010-11	Kharif	2529
AP	Chittor	Tobacco	-	2008-09	-	
AP	Chittor	Tobacco	-	2008-09	Rabi	
AP	Chittor	Tobacco	-	2009-10	-	
AP	Chittor	Tobacco	-	2010-11	-	
AP	Chittor	Tobacco	-	2010-11	Rabi	
AP	Chittor	Tur Arhar	-	2008-09	-	2785
AP	Chittor	Tur Arhar	-	2008-09	Kharif	2785
AP	Chittor	Tur Arhar	-	2009-10	-	3316
AP	Chittor	Tur Arhar	-	2009-10	Kharif	3304
AP	Chittor	Tur Arhar	-	2009-10	Rabi	3616
AP	Chittor	Tur Arhar	-	2010-11	-	3604
AP	Chittor	Tur Arhar	-	2010-11	Kharif	3604
AP	Chittor	Tur Arhar	-	2010-11	Rabi	
AP	Chittor	Turmeric	-	2008-09	-	4455
AP	Chittor	Turmeric	-	2008-09	Kharif	4455
AP	Chittor	Turmeric	-	2009-10	-	11199
AP	Chittor	Turmeric	-	2009-10	Kharif	11199
AP	Chittor	Turmeric	-	2010-11	-	9310
AP	Chittor	Turmeric	-	2010-11	Kharif	9310
AP	Cuddapah	Bajra	-	2008-09	-	
AP	Cuddapah	Bajra	-	2008-09	Kharif	
AP	Cuddapah	Bajra	-	2008-09	Rabi	
AP	Cuddapah	Bajra	-	2009-10	-	
AP	Cuddapah	Bajra	-	2009-10	Kharif	
AP	Cuddapah	Bajra	-	2009-10	Rabi	
AP	Cuddapah	Bajra	-	2010-11	-	
AP	Cuddapah	Bajra	-	2010-11	Kharif	
AP	Cuddapah	Bajra	-	2010-11	Rabi	
AP	Cuddapah	CasterSeed	-	2008-09	-	
AP	Cuddapah	CasterSeed	-	2008-09	Kharif	
AP	Cuddapah	CasterSeed	-	2009-10	-	
AP	Cuddapah	CasterSeed	-	2009-10	Kharif	
AP	Cuddapah	CasterSeed	-	2010-11	-	
AP	Cuddapah	CasterSeed	-	2010-11	Kharif	
AP	Cuddapah	CasterSeed	-	2010-11	Rabi	
AP	Cuddapah	Chilly	-	2008-09	Rabi	
AP	Cuddapah	Chilly	Dry	2008-09	-	
AP	Cuddapah	Chilly	Dry	2008-09	Kharif	
AP	Cuddapah	Chilly	Dry	2009-10	-	
AP	Cuddapah	Chilly	Dry	2009-10	Kharif	
AP	Cuddapah	Chilly	Dry	2009-10	Rabi	
AP	Cuddapah	Chilly	Dry	2010-11	-	
AP	Cuddapah	Chilly	Dry	2010-11	Kharif	
AP	Cuddapah	Chilly	Dry	2010-11	Rabi	
AP	Cuddapah	Cotton	-	2008-09	-	
AP	Cuddapah	Cotton	-	2008-09	Kharif	
AP	Cuddapah	Cotton	-	2009-10	-	
AP	Cuddapah	Cotton	-	2009-10	Kharif	
AP	Cuddapah	Cotton	-	2010-11	-	
AP	Cuddapah	Cotton	-	2010-11	Kharif	
AP	Cuddapah	Gram	-	2008-09	-	
AP	Cuddapah	Gram	-	2008-09	Rabi	
AP	Cuddapah	Gram	-	2009-10	-	
AP	Cuddapah	Gram	-	2009-10	Rabi	
AP	Cuddapah	Gram	-	2010-11	-	
AP	Cuddapah	Gram	-	2010-11	Rabi	
AP	Cuddapah	Ground Nut	-	2008-09	-	
AP	Cuddapah	Ground Nut	-	2008-09	Kharif	
AP	Cuddapah	Ground Nut	-	2008-09	Rabi	
AP	Cuddapah	Ground Nut	-	2009-10	-	
AP	Cuddapah	Ground Nut	-	2009-10	Kharif	
AP	Cuddapah	Ground Nut	-	2009-10	Rabi	
AP	Cuddapah	Ground Nut	-	2010-11	-	
AP	Cuddapah	Ground Nut	-	2010-11	Kharif	
AP	Cuddapah	Ground Nut	-	2010-11	Rabi	
AP	Cuddapah	Jowar	-	2008-09	-	
AP	Cuddapah	Jowar	-	2008-09	Kharif	
AP	Cuddapah	Jowar	-	2008-09	Rabi	
AP	Cuddapah	Jowar	-	2009-10	-	
AP	Cuddapah	Jowar	-	2009-10	Kharif	
AP	Cuddapah	Jowar	-	2009-10	Rabi	
AP	Cuddapah	Jowar	-	2010-11	-	
AP	Cuddapah	Jowar	-	2010-11	Kharif	
AP	Cuddapah	Jowar	-	2010-11	Rabi	
AP	Cuddapah	Maize	-	2008-09	-	
AP	Cuddapah	Maize	-	2008-09	Kharif	
AP	Cuddapah	Maize	-	2008-09	Rabi	
AP	Cuddapah	Maize	-	2009-10	-	
AP	Cuddapah	Maize	-	2009-10	Kharif	
AP	Cuddapah	Maize	-	2009-10	Rabi	
AP	Cuddapah	Maize	-	2010-11	-	
AP	Cuddapah	Maize	-	2010-11	Kharif	
AP	Cuddapah	Maize	-	2010-11	Rabi	
AP	Cuddapah	Mesta	-	2008-09	-	
AP	Cuddapah	Mesta	-	2008-09	Kharif	
AP	Cuddapah	Mesta	-	2009-10	-	
AP	Cuddapah	Mesta	-	2009-10	Kharif	
AP	Cuddapah	Mesta	-	2010-11	-	
AP	Cuddapah	Mesta	-	2010-11	Kharif	
AP	Cuddapah	Paddy	-	2008-09	-	
AP	Cuddapah	Paddy	-	2008-09	Kharif	
AP	Cuddapah	Paddy	-	2008-09	Rabi	
AP	Cuddapah	Paddy	-	2009-10	-	
AP	Cuddapah	Paddy	-	2009-10	Kharif	
AP	Cuddapah	Paddy	-	2009-10	Rabi	
AP	Cuddapah	Paddy	-	2010-11	-	
AP	Cuddapah	Paddy	-	2010-11	Kharif	
AP	Cuddapah	Paddy	-	2010-11	Rabi	
AP	Cuddapah	Ragi	-	2008-09	-	
AP	Cuddapah	Ragi	-	2008-09	Kharif	
AP	Cuddapah	Ragi	-	2008-09	Rabi	
AP	Cuddapah	Ragi	-	2009-10	-	
AP	Cuddapah	Ragi	-	2009-10	Kharif	
AP	Cuddapah	Ragi	-	2009-10	Rabi	
AP	Cuddapah	Ragi	-	2010-11	-	
AP	Cuddapah	Ragi	-	2010-11	Kharif	
AP	Cuddapah	Ragi	-	2010-11	Rabi	
AP	Cuddapah	Sesamum	-	2008-09	-	
AP	Cuddapah	Sesamum	-	2008-09	Kharif	
AP	Cuddapah	Sesamum	-	2008-09	Rabi	
AP	Cuddapah	Sesamum	-	2009-10	-	
AP	Cuddapah	Sesamum	-	2009-10	Kharif	
AP	Cuddapah	Sesamum	-	2009-10	Rabi	
AP	Cuddapah	Sesamum	-	2010-11	-	
AP	Cuddapah	Sesamum	-	2010-11	Kharif	
AP	Cuddapah	Sesamum	-	2010-11	Rabi	
AP	Cuddapah	Sugar Raw	-	2008-09	-	
AP	Cuddapah	Sugar Raw	-	2008-09	Kharif	
AP	Cuddapah	Sugar Raw	-	2009-10	-	
AP	Cuddapah	Sugar Raw	-	2009-10	Kharif	
AP	Cuddapah	Sugar Raw	-	2010-11	-	
AP	Cuddapah	Sugar Raw	-	2010-11	Kharif	
AP	Cuddapah	Tobacco	-	2008-09	-	
AP	Cuddapah	Tobacco	-	2008-09	Rabi	
AP	Cuddapah	Tobacco	-	2009-10	-	
AP	Cuddapah	Tobacco	-	2010-11	-	
AP	Cuddapah	Tobacco	-	2010-11	Rabi	
AP	Cuddapah	Tur Arhar	-	2008-09	-	
AP	Cuddapah	Tur Arhar	-	2008-09	Kharif	
AP	Cuddapah	Tur Arhar	-	2009-10	-	
AP	Cuddapah	Tur Arhar	-	2009-10	Kharif	
AP	Cuddapah	Tur Arhar	-	2009-10	Rabi	
AP	Cuddapah	Tur Arhar	-	2010-11	-	
AP	Cuddapah	Tur Arhar	-	2010-11	Kharif	
AP	Cuddapah	Tur Arhar	-	2010-11	Rabi	
AP	Cuddapah	Turmeric	-	2008-09	-	
AP	Cuddapah	Turmeric	-	2008-09	Kharif	
AP	Cuddapah	Turmeric	-	2009-10	-	
AP	Cuddapah	Turmeric	-	2009-10	Kharif	
AP	Cuddapah	Turmeric	-	2010-11	-	
AP	Cuddapah	Turmeric	-	2010-11	Kharif	
AP	EastGodavari	Bajra	-	2008-09	-	779
AP	EastGodavari	Bajra	-	2008-09	Kharif	779
AP	EastGodavari	Bajra	-	2008-09	Rabi	
AP	EastGodavari	Bajra	-	2009-10	-	985
AP	EastGodavari	Bajra	-	2009-10	Kharif	985
AP	EastGodavari	Bajra	-	2009-10	Rabi	
AP	EastGodavari	Bajra	-	2010-11	-	1207
AP	EastGodavari	Bajra	-	2010-11	Kharif	1207
AP	EastGodavari	Bajra	-	2010-11	Rabi	
AP	EastGodavari	CasterSeed	-	2008-09	-	
AP	EastGodavari	CasterSeed	-	2008-09	Kharif	
AP	EastGodavari	CasterSeed	-	2009-10	-	
AP	EastGodavari	CasterSeed	-	2009-10	Kharif	
AP	EastGodavari	CasterSeed	-	2010-11	-	
AP	EastGodavari	CasterSeed	-	2010-11	Kharif	
AP	EastGodavari	CasterSeed	-	2010-11	Rabi	
AP	EastGodavari	Chilly	-	2008-09	Rabi	4651
AP	EastGodavari	Chilly	Dry	2008-09	-	4952
